Date,Close,High,Low,Open,Volume,MACD,RSI,Pct_Change,MA_5,STD_5,MACD_RSI_Ratio,Change_Pct,Volatility,Sentiment_Score,sentiment_label,Is_News_Day,score_Day
2018-12-10,238.881,239.867,233.951,238.248,151445900,0.0,,,,,,0.2656895335952494,2.610271553561685,0.0,0.0,0.0,0.0
2018-12-11,238.935,242.318,237.443,242.128,121504400,0.004307692307691013,,0.022605397666630722,,,,-1.3187239807044142,2.408612186855045,0.0,0.0,0.0,0.0
2018-12-12,240.138,243.341,240.057,241.957,97976700,0.10359938636858601,,0.5034842111871551,,,,-0.7517864744562003,1.5780959782810047,0.0,0.0,0.0,0.0
2018-12-13,240.057,241.975,238.926,241.097,96662700,0.17374986591639185,,-0.033730604902193484,,,,-0.4313616511196823,1.317194335193817,0.0,0.0,0.0,0.0
2018-12-14,235.624,238.845,235.063,237.877,116961100,-0.12689861724035723,,-1.8466447552039744,238.727,1.8340808324607718,,-0.9471281376509769,1.8010347720130289,0.0,0.0,0.0,0.0
2018-12-17,231.002,235.787,229.346,234.656,165492300,-0.7297098377507609,,-1.9615998370284826,237.15120000000002,3.8952403905279076,,-1.5571730533206039,3.0269899652955576,0.0,0.0,0.0,0.0
2018-12-18,230.748,233.345,229.12,232.666,134515100,-1.2139441576634624,,-0.10995575795881285,235.5138,4.6126246541421665,,-0.8243576629159424,1.9139683687738052,0.0,0.0,0.0,0.0
2018-12-19,227.293,234.656,225.565,230.83,214992800,-1.8551084350006022,,-1.4973044186731732,232.94480000000004,4.957437513474106,,-1.532296495256252,4.0281809790524585,0.0,0.0,0.0,0.0
2018-12-20,223.593,227.619,221.313,226.026,252053400,-2.6314609778145837,,-1.627854795352257,229.652,4.499023838567741,,-1.0764248360808142,2.766499277064797,0.0,0.0,0.0,0.0
2018-12-21,219.012,227.21,218.357,224.507,255345600,-3.575162132693748,,-2.0488119037715746,226.32959999999997,5.082272355944841,,-2.447585153246894,4.294721294799004,0.0,0.0,0.0,0.0
2018-12-24,213.225,219.139,213.161,217.501,147311600,-4.735427571613968,,-2.6423209687140403,222.7742,6.892257300768845,,-1.9659679725610506,3.0347816505749967,0.0,0.0,0.0,0.0
2018-12-26,223.998,223.998,212.697,214.708,218485400,-4.731117843456133,,5.052409426661986,221.4242,5.450150062154398,,4.326806639715331,6.0005383300167265,0.0,0.0,0.0,0.0
2018-12-27,225.718,225.918,217.428,220.713,186267300,-4.536617425743231,,0.7678639987857006,221.10920000000002,5.057527132898207,,2.2676507500690923,4.120856252042772,0.0,0.0,0.0,0.0
2018-12-28,225.426,228.748,224.244,227.092,153100200,-4.355825161999576,,-0.12936495981711316,221.4758,5.34106367683456,,-0.7336233773096477,1.9652781821750662,0.0,0.0,0.0,0.0
2018-12-31,227.401,227.647,225.172,227.073,144299400,-4.0069899107816696,36.629396692289795,0.8761189924853419,223.1536,5.680459162779129,-0.10939273568830332,0.14444693997084768,1.1256643593896023,0.0,0.0,0.0,0.0
