Date,Close,High,Low,Open,Volume,MACD,RSI
10/12/2018,238.881,239.867,233.951,238.248,151445900,0,
11/12/2018,238.935,242.318,237.443,242.128,121504400,0.004,
12/12/2018,240.138,243.341,240.057,241.957,97976700,0.104,
13/12/2018,240.057,241.975,238.926,241.097,96662700,0.174,
14/12/2018,235.624,238.845,235.063,237.877,116961100,-0.127,
17/12/2018,231.002,235.787,229.346,234.656,165492300,-0.73,
18/12/2018,230.748,233.345,229.12,232.666,134515100,-1.214,
19/12/2018,227.293,234.656,225.565,230.83,214992800,-1.855,
20/12/2018,223.593,227.619,221.313,226.026,252053400,-2.631,
21/12/2018,219.012,227.21,218.357,224.507,255345600,-3.575,
24/12/2018,213.225,219.139,213.161,217.501,147311600,-4.735,
26/12/2018,223.998,223.998,212.697,214.708,218485400,-4.731,
27/12/2018,225.718,225.918,217.428,220.713,186267300,-4.537,
28/12/2018,225.426,228.748,224.244,227.092,153100200,-4.356,33.574
31/12/2018,227.401,227.647,225.172,227.073,144299400,-4.007,36.629
02/01/2019,227.637,228.575,223.789,223.816,126925200,-3.669,36.897
03/01/2019,222.205,226.173,221.714,225.863,144140700,-3.796,31.06
04/01/2019,229.648,230.304,224.899,225.281,142628800,-3.258,40.486
07/01/2019,231.459,232.888,229.011,229.921,103139100,-2.656,46.001
08/01/2019,233.634,234.125,231.113,233.679,102512600,-1.98,52.651
09/01/2019,234.726,235.581,233.106,234.353,95006600,-1.34,53.94
10/01/2019,235.554,235.808,232.478,233.17,96823900,-0.758,58.633
11/01/2019,235.645,235.672,233.87,234.462,73858100,-0.286,63.622
14/01/2019,234.207,235.026,233.306,233.716,70908200,-0.028,68.49
15/01/2019,236.891,237.21,234.58,234.589,85208300,0.389,81.15
16/01/2019,237.464,238.365,237.119,237.328,77636700,0.757,74.231
17/01/2019,239.266,240.139,236.536,236.582,96118400,1.181,74.306
18/01/2019,242.451,242.924,239.302,241.104,127900300,1.753,77.669
22/01/2019,239.175,241.177,237.537,240.958,115531200,1.92,68.36
23/01/2019,239.675,240.931,237.173,240.221,86030300,2.069,68.618
24/01/2019,239.803,240.394,238.465,239.493,59204100,2.172,82.559
25/01/2019,241.832,242.669,239.903,241.677,96883400,2.39,78.19
28/01/2019,239.994,240.058,238.201,239.657,85613700,2.387,69.722
29/01/2019,239.675,240.713,238.829,240.139,66136300,2.332,65.271
30/01/2019,243.47,244.325,240.44,241.213,92473700,2.565,69.445
31/01/2019,245.608,246.099,243.188,243.406,104012100,2.889,71.128
01/02/2019,245.726,246.763,244.925,245.808,85782500,3.119,71.161
04/02/2019,247.455,247.519,245.089,245.772,60744800,3.402,77.471
05/02/2019,248.492,248.802,247.382,247.892,79552800,3.668,75.82
06/02/2019,248.165,248.711,247.419,248.21,58347800,3.808,74.079
07/02/2019,245.799,247.082,244.116,246.527,95482000,3.685,64.337
08/02/2019,246.099,246.199,243.697,244.534,75788900,3.572,59.168
11/02/2019,246.236,247.027,245.699,246.764,68021400,3.452,71.064
12/02/2019,249.402,249.784,247.801,247.874,72270200,3.572,75.035
13/02/2019,250.212,251.067,249.821,250.248,65277200,3.69,75.882
14/02/2019,249.657,250.803,248.283,249.111,83234400,3.696,70.996
15/02/2019,252.378,252.414,251.249,251.459,97088700,3.876,81.725
19/02/2019,252.814,253.478,251.559,251.568,59120800,4.007,83.457
20/02/2019,253.324,253.788,252.268,252.778,76610800,4.105,80.134
21/02/2019,252.423,253.042,251.449,252.678,64214700,4.063,72.547
